Horizon,Model,MSFE,MAE,RelMSFE_vs_RW,n_obs
1,NaiveMean,3.046064546434864,0.6856721467163142,0.3922438843390651,45
1,RW,7.76574133607593,1.0601424905315286,1.0,45
1,RWD,7.8227746412951875,1.063611175417524,1.0073442190192852,45
1,DiffusionIndex,5.616270005297879,0.8509462840932732,0.7232110576755071,45
1,Ridge,7.8804197585250915,0.9496367941059078,1.014767221503557,45
1,Lasso,9.72844513148366,0.937166280009415,1.2527387548037359,45
4,NaiveMean,3.0274602627667675,0.6843964949758378,0.4706921626599989,45
4,RW,6.431932594028831,1.2313178046632818,1.0,45
4,RWD,6.624592165531144,1.2488042562535964,1.0299536054966079,45
4,DiffusionIndex,3.154297326893497,0.7830682399236774,0.4904120621260599,45
4,Ridge,3.0302291895907993,0.6863310223160897,0.4711226595259957,45
4,Lasso,3.054211680256558,0.6985514124048792,0.47485131966276756,45
